ticket_number,county,city,street,intersection,original_status,proximity_success,proximity_lat,proximity_lng,proximity_confidence,proximity_approach,proximity_reasoning,proximity_error,ticket_type,duration,work_type
2561891195,ANDREWS,GARDENDALE,SE 8000,US HWY 385,ZERO_RESULTS,True,32.14070662392457,-102.47086977743267,0.75,corridor_midpoint,"Major highway corridor: Used midpoint of 2 segment(s) near reference road. Adjustment factor: 1.00 (base: 75.00%, adjusted: 75.00%)",,,,
2561881027,ANDREWS,GARDENDALE,SE 8000,US HWY 385,ZERO_RESULTS,True,32.14070662392457,-102.47086977743267,0.75,corridor_midpoint,"Major highway corridor: Used midpoint of 2 segment(s) near reference road. Adjustment factor: 1.00 (base: 75.00%, adjusted: 75.00%)",,,,
2560497997,ANDREWS,GARDENDALE,SE 8000,US HWY 385,ZERO_RESULTS,True,32.14070662392457,-102.47086977743267,0.75,corridor_midpoint,"Major highway corridor: Used midpoint of 2 segment(s) near reference road. Adjustment factor: 1.00 (base: 75.00%, adjusted: 75.00%)",,,,
2560164119,ANDREWS,GARDENDALE,SE 8000,US HWY 385,ZERO_RESULTS,True,32.14070662392457,-102.47086977743267,0.75,corridor_midpoint,"Major highway corridor: Used midpoint of 2 segment(s) near reference road. Adjustment factor: 1.00 (base: 75.00%, adjusted: 75.00%)",,,,
2559453537,ANDREWS,GARDENDALE,SE 8000,HWY 385,ZERO_RESULTS,True,32.16010419955099,-102.36646695054435,0.65,city_primary,"City-based approximation: One road not found in network. Using centroid of available road near GARDENDALE, ANDREWS. Adjustment factor: 1.00 (base: 65.00%, adjusted: 65.00%)",,,,
2559332925,ANDREWS,GARDENDALE,SE 8000,US-385,ZERO_RESULTS,True,32.14070662392457,-102.47086977743267,0.75,corridor_midpoint,"Major highway corridor: Used midpoint of 2 segment(s) near reference road. Adjustment factor: 1.00 (base: 75.00%, adjusted: 75.00%)",,,,
2559216574,ANDREWS,GARDENDALE,SE 8000,HWY 385,ZERO_RESULTS,True,32.16010419955099,-102.36646695054435,0.65,city_primary,"City-based approximation: One road not found in network. Using centroid of available road near GARDENDALE, ANDREWS. Adjustment factor: 1.00 (base: 65.00%, adjusted: 65.00%)",,,,
2559215810,ANDREWS,GARDENDALE,SE 8000,Hwy 385,ZERO_RESULTS,True,32.16010419955099,-102.36646695054435,0.65,city_primary,"City-based approximation: One road not found in network. Using centroid of available road near GARDENDALE, ANDREWS. Adjustment factor: 1.00 (base: 65.00%, adjusted: 65.00%)",,,,
2559210033,ANDREWS,GARDENDALE,SE 8000 RD,US 385,ZERO_RESULTS,True,32.14070662392457,-102.47086977743267,0.75,corridor_midpoint,"Major highway corridor: Used midpoint of 2 segment(s) near reference road. Adjustment factor: 1.00 (base: 75.00%, adjusted: 75.00%)",,,,
2573219126,ANDREWS,GARDENDALE,SE 8000,US 385,ZERO_RESULTS,True,32.14070662392457,-102.47086977743267,0.75,corridor_midpoint,"Major highway corridor: Used midpoint of 2 segment(s) near reference road. Adjustment factor: 1.00 (base: 75.00%, adjusted: 75.00%)",,,,
2572049278,ANDREWS,GARDENDALE,SE 8000,US HWY 385,ZERO_RESULTS,True,32.14070662392457,-102.47086977743267,0.75,corridor_midpoint,"Major highway corridor: Used midpoint of 2 segment(s) near reference road. Adjustment factor: 1.00 (base: 75.00%, adjusted: 75.00%)",,,,
2572047041,ANDREWS,ANDREWS,NE 7501,TX-115,exception,True,32.133188923780544,-102.71277825105723,0.65,city_primary,"City-based approximation: One road not found in network. Using centroid of available road near ANDREWS, ANDREWS. Adjustment factor: 1.00 (base: 65.00%, adjusted: 65.00%)",,,,
2572044549,ANDREWS,GARDENDALE,SE 8000,US HWY 385,ZERO_RESULTS,True,32.14070662392457,-102.47086977743267,0.75,corridor_midpoint,"Major highway corridor: Used midpoint of 2 segment(s) near reference road. Adjustment factor: 1.00 (base: 75.00%, adjusted: 75.00%)",,,,
2572044498,ANDREWS,GARDENDALE,SE 8000,US HWY 385,ZERO_RESULTS,True,32.14070662392457,-102.47086977743267,0.75,corridor_midpoint,"Major highway corridor: Used midpoint of 2 segment(s) near reference road. Adjustment factor: 1.00 (base: 75.00%, adjusted: 75.00%)",,,,
2585705193,ANDREWS,ANDREWS,NW 9999 RD,TX-176,exception,True,32.34325861851953,-102.50312326167293,0.65,city_primary,"City-based approximation: One road not found in network. Using centroid of available road near ANDREWS, ANDREWS. Adjustment factor: 1.00 (base: 65.00%, adjusted: 65.00%)",,,,
2584204920,ANDREWS,ANDREWS,NE 7501,TX-115,exception,True,32.133188923780544,-102.71277825105723,0.65,city_primary,"City-based approximation: One road not found in network. Using centroid of available road near ANDREWS, ANDREWS. Adjustment factor: 1.00 (base: 65.00%, adjusted: 65.00%)",,,,
2583874790,ANDREWS,GARDENDALE,SW 8000,US-385,ZERO_RESULTS,True,32.14070662392457,-102.47086977743267,0.75,corridor_midpoint,"Major highway corridor: Used midpoint of 2 segment(s) near reference road. Adjustment factor: 1.00 (base: 75.00%, adjusted: 75.00%)",,,,
2555329658,ANDREWS,GARDENDALE,SW 8000 RD,HWY 385,ZERO_RESULTS,True,32.12064484916954,-102.53879580813464,0.65,city_primary,"City-based approximation: One road not found in network. Using centroid of available road near GARDENDALE, ANDREWS. Adjustment factor: 1.00 (base: 65.00%, adjusted: 65.00%)",,,,
2555107043,ANDREWS,ANDREWS,TX-115,Ranch Rd 1788,exception,True,32.133188923780544,-102.71277825105723,0.65,city_primary,"City-based approximation: One road not found in network. Using centroid of available road near ANDREWS, ANDREWS. Adjustment factor: 1.00 (base: 65.00%, adjusted: 65.00%)",,,,
2554848449,ANDREWS,GARDENDALE,SE 8000,US HWY 385,ZERO_RESULTS,True,32.14070662392457,-102.47086977743267,0.75,corridor_midpoint,"Major highway corridor: Used midpoint of 2 segment(s) near reference road. Adjustment factor: 1.00 (base: 75.00%, adjusted: 75.00%)",,,,
2554848402,ANDREWS,GARDENDALE,SE 8000,US HWY 385,ZERO_RESULTS,True,32.14070662392457,-102.47086977743267,0.75,corridor_midpoint,"Major highway corridor: Used midpoint of 2 segment(s) near reference road. Adjustment factor: 1.00 (base: 75.00%, adjusted: 75.00%)",,,,
2554530743,ANDREWS,ANDREWS,NE 7501,TX-115,exception,True,32.133188923780544,-102.71277825105723,0.65,city_primary,"City-based approximation: One road not found in network. Using centroid of available road near ANDREWS, ANDREWS. Adjustment factor: 1.00 (base: 65.00%, adjusted: 65.00%)",,,,
2553952606,ANDREWS,ANDREWS,FM 4750,NE 9601,exception,False,,,0.0,,,"Neither road found in network: FM 4750, NE 9601",,,
2553581281,ANDREWS,GARDENDALE,SE 8000,US HWY 385,ZERO_RESULTS,True,32.14070662392457,-102.47086977743267,0.75,corridor_midpoint,"Major highway corridor: Used midpoint of 2 segment(s) near reference road. Adjustment factor: 1.00 (base: 75.00%, adjusted: 75.00%)",,,,
2553458465,ANDREWS,Gardendale,SE 8000, US HWY 385,ZERO_RESULTS,True,32.14070662392457,-102.47086977743267,0.75,corridor_midpoint,"Major highway corridor: Used midpoint of 2 segment(s) near reference road. Adjustment factor: 1.00 (base: 75.00%, adjusted: 75.00%)",,,,
